y_test;predictions
1;0.81632954
1;0.7763774
1;0.9699214
1;0.22980878
0;0.61428446
1;0.45487055
1;0.8866946
1;0.59577245
0;0.6690475
0;0.694011
0;0.8092922
0;0.14808547
0;0.0930565
0;0.75278336
0;0.92361706
1;0.3922083
0;0.821722
1;0.97249186
1;0.8585197
0;0.6404385
0;0.676691
1;0.05710129
0;0.9584713
0;0.3289359
1;0.44591516
1;0.41730553
1;0.52051574
0;0.93135196
0;0.80845207
0;0.7033427
1;0.883923
1;0.816331
0;0.8780426
1;0.74088156
0;0.8319282
0;0.72083527
0;0.6829309
0;0.8345228
1;0.7956583
0;0.9450676
0;0.9045653
1;0.4851189
0;0.21496628
0;0.6321783
1;0.84281814
1;0.9084446
1;0.8495529
0;0.62423533
0;0.8228963
1;0.9363226
1;0.5843534
1;0.77760094
0;0.30920684
0;0.904914
0;0.42183223
1;0.7773295
0;0.85370874
0;0.9487508
0;0.20361766
1;0.8540693
0;0.6369638
1;0.5940172
0;0.5362661
0;0.7512668
1;0.85878485
1;0.36862788
1;0.94012725
1;0.75899094
1;0.8527733
0;0.6913742
0;0.73912644
1;0.6546823
0;0.1998954
1;0.487818
1;0.60712147
0;0.73374164
1;0.9660446
1;0.8166298
0;0.9724104
0;0.7148242
1;0.92174643
1;0.48116955
0;0.77610195
0;0.757181
1;0.5765603
0;0.423307
0;0.7355669
1;0.6292368
0;0.62665373
0;0.6645841
0;0.7919666
0;0.9650024
0;0.36458316
0;0.09876124
0;0.2831194
0;0.6753852
1;0.86877775
1;0.78473306
1;0.3857187
0;0.6522491
1;0.8138124
1;0.39850587
0;0.8580736
1;0.9118052
1;0.42546555
0;0.38010144
1;0.88837934
0;0.8062259
1;0.8329416
0;0.6565435
0;0.6584869
0;0.76937777
0;0.6787399
