y_test;predictions
0;0.51348174
1;0.092791334
0;0.6001332
1;0.93939954
0;0.33785465
0;0.10668119
1;0.44901982
0;0.0035140354
1;0.7758929
0;0.07021942
0;0.06813142
0;0.79448754
0;0.030120041
0;0.045685317
1;0.23661731
1;0.841041
1;0.9956519
0;0.24929982
1;0.9929369
0;0.07167573
0;0.01874237
0;0.2863606
1;0.4023116
1;0.85611206
1;0.9791256
0;0.15095244
1;0.9228262
1;0.3973953
0;0.5263613
1;0.98316264
0;0.0037722008
1;0.1111702
0;0.18157023
1;0.9305397
0;0.20414744
1;0.4922609
1;0.9666275
0;0.04738537
0;0.034988716
0;0.20465535
0;0.1173124
0;0.35886252
1;0.82801366
1;0.9721264
1;0.99410594
0;0.06586186
1;0.7145705
0;0.33677858
0;0.023982234
0;0.40229112
1;0.99646
1;0.96777403
0;0.031150842
0;0.050279718
1;0.2145805
0;0.4034548
1;0.51527196
1;0.46945933
1;0.96154565
0;0.6784579
0;0.03190737
1;0.70094216
1;0.9663418
1;0.98419744
1;0.9739604
1;0.99742585
0;0.038042106
0;0.96608746
0;0.7068476
1;0.92888933
1;0.16423957
1;0.94764453
0;0.62859905
1;0.97266465
0;0.4660257
0;0.2548552
0;0.01840488
1;0.98403615
0;0.025235368
0;0.03017373
0;0.45960805
1;0.97928923
1;0.64526236
1;0.9839243
1;0.97735935
0;0.19385597
1;0.7156029
0;0.81040615
1;0.9689896
1;0.98281
0;0.29158825
1;0.39844063
1;0.950756
0;0.083125934
0;0.07781596
1;0.98749346
0;0.027630677
0;0.029761903
1;0.9368321
1;0.9859723
1;0.10913549
1;0.9999604
1;0.9796259
1;0.121740304
0;0.06734935
1;0.93545514
1;0.9955252
1;0.8902389
1;0.8371876
0;0.061853375
1;0.97080237
0;0.033301417
0;0.72399896
0;0.007747061
0;0.08320724
0;0.25511134
0;0.14250197
0;0.09295282
1;0.9383559
0;0.024365762
1;0.9255134
1;0.94957113
0;0.013449382
1;0.17421217
0;0.06380309
0;0.44914502
1;0.9938309
0;0.22345571
1;0.87063396
1;0.9977151
1;0.6839138
1;0.95546865
0;0.25157702
1;0.94933563
1;0.98919266
1;0.9975305
1;0.40899134
1;0.96801007
1;0.89406437
0;0.052651335
0;0.053142983
1;0.98305315
1;0.52709365
0;0.77906954
0;0.16915871
0;0.019242942
1;0.88400185
1;0.6288602
1;0.7544129
1;0.12718035
1;0.7792127
1;0.9766262
1;0.74593025
0;0.0177176
1;0.9912009
1;0.9854673
1;0.74602956
1;0.9413081
0;0.129751
0;0.031706855
0;0.009886052
0;0.09956384
1;0.9529966
0;0.17056951
0;0.027890507
1;0.92143524
1;0.82514286
0;0.25821266
1;0.98696506
1;0.6397289
1;0.21353583
1;0.2997558
0;0.009620581
1;0.9727726
1;0.9832448
0;0.05182093
0;0.005441223
0;0.31938615
1;0.9918222
1;0.41985747
1;0.95605487
0;0.057021588
1;0.79415995
0;0.045006882
1;0.9753702
0;0.014025351
0;0.056294274
0;0.045999907
0;0.548257
1;0.120175205
1;0.99859816
0;0.15230258
1;0.71957374
1;0.8181071
1;0.29603836
1;0.9484469
1;0.8961762
0;0.019317685
1;0.055584434
0;0.03445206
1;0.9915788
1;0.9663254
0;0.08793705
1;0.86490667
1;0.9549946
1;0.9568286
1;0.97590375
1;0.9812795
1;0.109173626
0;0.1448056
1;0.18046233
0;0.07876019
0;0.22534359
1;0.4112376
0;0.26111037
0;0.87233555
0;0.084305584
1;0.9899394
1;0.8624604
0;0.007970455
1;0.977076
0;0.2805916
1;0.39485273
1;0.14703429
1;0.17010882
