y_test;predictions
1;0.999924898
1;1
1;1
1;1
0;0.276730686
1;0.999868035
1;0.993904889
1;1
0;0.0417959206
0;0.209089398
0;0.0985728055
0;0.418012828
0;0.000184002871
0;0.208347231
0;0.184275478
1;0.800175369
0;0.00347757805
1;1
1;0.330641687
0;0.326163441
0;0.0622679293
1;0.985507369
0;0.240444124
0;0.383790046
1;0.154620156
1;0.999988079
1;0.986019909
0;0.142184213
0;0.0153911095
0;0.0953482985
1;1
1;0.999772847
0;0.950149655
1;0.999999881
0;0.211116970
0;0.352272660
0;0.0763136521
0;0.244947985
1;0.975203514
0;0.174555972
0;0.121239871
1;0.999867678
0;0.963879883
0;0.682954431
1;0.996815979
1;1
1;0.814784408
0;0.712119579
0;0.437400371
1;1
1;1
1;0.398203075
0;0.00989431702
0;0.606102169
0;0.111553535
1;1
0;0.182535648
0;0.301873744
0;0.0460296534
1;0.979491234
0;0.258696973
1;0.958079219
0;0.273506910
0;0.0901026130
1;0.999899387
1;0.997721016
1;0.993740082
1;0.999994755
1;1
0;0.141680196
0;0.0929410607
1;0.996714592
0;0.286925375
1;0.997144282
1;0.995344937
0;0.254256994
1;1
1;0.918707132
0;0.189359233
0;0.0929050297
1;0.999890685
1;0.999999881
0;0.000406144129
0;0.520963192
1;0.999964833
0;0.187202856
0;0.225098759
1;0.998771846
0;0.0114582004
0;0.00764180534
0;0.0664221570
0;0.151922375
0;0.0199895874
0;0.0339199565
0;0.498843074
0;0.184468865
1;0.893760085
1;1
1;0.999999166
0;0.336503834
1;0.999227166
1;0.0630587190
0;0.255135268
1;0.998596013
1;0.676060200
0;0.517530322
1;0.884869695
0;0.0626707003
1;0.990213454
0;0.0138894478
0;0.0718422905
0;0.0000674848197
0;0.248632804
