y_test;predictions
1;0.98745036
1;0.99965417
1;0.99795592
1;0.99892837
0;0.33887669
1;0.97821599
1;0.92898685
1;0.99693078
0;0.10306894
0;0.64868510
0;0.28451705
0;0.62886781
0;0.022446368
0;0.14755838
0;0.045809895
1;0.96316683
0;0.0065802084
1;0.99999881
1;0.31926897
0;0.016947875
0;0.022016071
1;0.93810290
0;0.65937686
0;0.66757041
1;0.60865647
1;0.99606329
1;0.86511731
0;0.023069277
0;0.0045185890
0;0.092759721
1;0.99999809
1;0.99114531
0;0.69184119
1;0.99570727
0;0.13778768
0;0.58968443
0;0.50546044
0;0.46372280
1;0.97672439
0;0.18808343
0;0.29150689
1;0.82290757
0;0.95041293
0;0.71221703
1;0.74818563
1;0.99999988
1;0.94620919
0;0.18708023
0;0.72980034
1;0.99960333
1;0.99995887
1;0.49279723
0;0.018513974
0;0.59775907
0;0.075946696
1;0.99997854
0;0.0063101863
0;0.70808655
0;0.000022102598
1;0.85574126
0;0.34094438
1;0.89696592
0;0.14306536
0;0.019623125
1;0.98290294
1;0.97536802
1;0.99920446
1;0.99508947
1;0.99999678
0;0.18598966
0;0.37018335
1;0.91642690
0;0.55485308
1;0.98240674
1;0.91329241
0;0.29292679
1;0.99999928
1;0.88050508
0;0.068109952
0;0.020860502
1;0.98659408
1;0.99974352
0;0.072525710
0;0.31465685
1;0.96425837
0;0.62236798
0;0.14461249
1;0.99773574
0;0.059096180
0;0.0075920252
0;0.027231380
0;0.42467329
0;0.42235482
0;0.024507323
0;0.40148506
0;0.27429304
1;0.76648045
1;0.99999893
1;0.97836614
0;0.18097201
1;0.97813934
1;0.26188114
0;0.16779637
1;0.93182868
1;0.56355900
0;0.30545011
1;0.87106645
0;0.43627304
1;0.95462751
0;0.015732775
0;0.14707834
0;0.00033014012
0;0.32920450
